label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
2	687 m/(s^2)	-0.0481 N	SOCCER	games and playable media, biotechnology	532	920	885	199 m^2	0.1713 m/s	0.1846	0.5441	644	0.0225	880	REPTILE
4	862 m/(s^2)	0.8492 N	ice hockey	Technology and Information Management	922	664	635	286 m^2	0.3357 m/s	0.2285	0.1539	-18	0.6484	482	hamster
0	379 m/(s^2)	0.8358 N	boxing	Statistics	338	840	866	-75 m^2	0.7998 m/s	0.9276	0.782	384	0.1593	28	rabbit
0	140 m/(s^2)	0.6528 N	track & field	Human Computer Interaction	319	592	757	-16 m^2	1.0402 m/s	0.7582	0.8273	403	0.354	87	rabbit
1	439 m/(s^2)	0.2043 N	badminton	Computer Game Design	61	230	127	924 m^2	0.2267 m/s	0.8156	0.8187	521	0.6869	-46	bird
4	937 m/(s^2)	0.9623 N	ice hockey	Technology and Information Management	1106	644	897	305 m^2	0.4812 m/s	0.5487	0.0992	111	0.6044	734	hamster
3	985 m/(s^2)	0.2774 N	track & field	Electrical Engineering, Computer Engineering, Natural Language Processing	864	513	181	722 m^2	0.5574 m/s	0.9332	0.9607	621	0.0711	1059	chicken
3	809 m/(s^2)	0.4955 N	tennis	Natural Language Processing	866	547	76	577 m^2	0.631 m/s	0.7432	1.0038	843	0.3564	996	chicken
6	205 m/(s^2)	0.4576 N	golf	Data Science	601	429	403	734 m^2	0.179 m/s	-0.1847	0.4385	527	0.7281	540	guinea pig
2	752 m/(s^2)	-0.0593 N	soccer	Games and Playable Media, Human Computer Interaction	648	555	1055	332 m^2	0.132 m/s	0.0074	0.5951	548	0.2708	?	reptile
5	-64 m/(s^2)	0.5624 N	running	Computer Science, Computational Media	151	78	282	467 m^2	0.7346 m/s	0.4122	-0.0443	956	0.659	267	pig
3	1019 m/(s^2)	0.235 N	motor sports	Natural Language Processing	868	336	83	639 m^2	0.7631 m/s	0.7838	0.6559	789	0.4509	1001	dog
2	878 m/(s^2)	0.251 N	golf	Biotechnology	598	599	1140	230 m^2	0.036 m/s	0.0698	0.323	431	-0.0101	1073	reptile
3	956 m/(s^2)	0.2669 N	baseball	Applied Mathematics, Electrical Engineering	857	296	47	524 m^2	0.5634 m/s	0.9947	0.8334	749	0.3005	703	DOG
2	854 m/(s^2)	-0.2008 N	soccer	Games and Playable Media	867	407	1005	306 m^2	0.1561 m/s	0.2479	0.3974	540	-0.0315	1045	cat
3	1054 m/(s^2)	0.3243 N	motor sports	Natural Language Processing, Applied Mathematics, Electrical Engineering	713	430	-142	446 m^2	0.4808 m/s	0.6955	0.8998	938	0.2052	973	rat
4	844 m/(s^2)	0.8751 N	soccer	Technology and Information Management	837	846	755	296 m^2	0.4275 m/s	0.2042	-0.0145	51	0.7617	558	hamster
6	238 m/(s^2)	0.5156 N	badminton	Data Science	848	327	481	709 m^2	0.4129 m/s	0.1418	0.2824	271	1.0351	761	guinea pig
2	547 m/(s^2)	-0.1072 N	running	Biotechnology	669	770	936	293 m^2	0.3039 m/s	0.1078	0.4275	519	-0.0793	775	cat
6	322 m/(s^2)	0.65 N	golf	Data Science	756	245	371	783 m^2	0.3391 m/s	-0.0629	0.3714	474	1.0926	658	guinea pig
0	241 m/(s^2)	0.8565 N	boxing	Statistics	288	826	831	8 m^2	0.793 m/s	0.7975	1.1312	120	0.2763	-35	rabbit
3	1010 m/(s^2)	0.5854 N	ice hockey	Natural Language Processing, Computer Engineering	1022	504	274	541 m^2	0.7641 m/s	0.8176	0.8543	669	0.3532	740	dog
4	821 m/(s^2)	0.8611 N	ice hockey	Human Computer Interaction	887	855	714	329 m^2	0.4289 m/s	0.2912	0.2493	12	0.7839	616	hamster
6	19 m/(s^2)	0.4974 N	golf	Data Science	625	301	486	772 m^2	0.2689 m/s	0.0115	-0.1017	578	0.9793	630	guinea pig
2	766 m/(s^2)	0.1422 N	running	Human Computer Interaction	691	628	1023	140 m^2	0.0035 m/s	0.4392	0.582	416	0.055	931	reptile
2	N/A	-0.035 N	soccer	Technology and Information Management	571	522	965	194 m^2	0.1906 m/s	0.1718	0.3447	637	0.0575	1084	hamster
5	-131 m/(s^2)	0.4858 N	running	Robotics Engineering, Computational Media	304	137	297	546 m^2	0.7057 m/s	0.4033	-0.2372	927	0.5671	457	ferret
6	310 m/(s^2)	0.7173 N	golf	Data Science	762	569	236	901 m^2	0.2246 m/s	-0.0209	0.3085	290	0.9173	748	guinea pig
